Node Path,Node Address,Access Level,Data Type
/Objects,n=0;,,
/Objects/Server,n=0;,,
/Objects/Server/Auditing,n=0;i=2994,currentRead,Boolean
/Objects/Server/GetMonitoredItems,n=0;,,
/Objects/Server/GetMonitoredItems/InputArguments,n=0;i=11493,currentRead,Argument
/Objects/Server/GetMonitoredItems/OutputArguments,n=0;i=11494,currentRead,Argument
/Objects/Server/NamespaceArray,n=0;i=2255,currentRead,String
/Objects/Server/ServerArray,n=0;i=2254,currentRead,String
/Objects/Server/ServerCapabilities,n=0;,,
/Objects/Server/ServerCapabilities/AggregateFunctions,n=0;,,
/Objects/Server/ServerCapabilities/LocaleIdArray,n=0;i=2271,currentRead,LocaleId
/Objects/Server/ServerCapabilities/MaxArrayLength,n=0;i=11702,currentRead,UInt32
/Objects/Server/ServerCapabilities/MaxBrowseContinuationPoints,n=0;i=2735,currentRead,UInt16
/Objects/Server/ServerCapabilities/MaxByteStringLength,n=0;i=12911,currentRead,UInt32
/Objects/Server/ServerCapabilities/MaxHistoryContinuationPoints,n=0;i=2737,currentRead,UInt16
/Objects/Server/ServerCapabilities/MaxQueryContinuationPoints,n=0;i=2736,currentRead,UInt16
/Objects/Server/ServerCapabilities/MaxStringLength,n=0;i=11703,currentRead,UInt32
/Objects/Server/ServerCapabilities/MinSupportedSampleRate,n=0;i=2272,currentRead,Duration
/Objects/Server/ServerCapabilities/ModellingRules,n=0;,,
/Objects/Server/ServerCapabilities/ModellingRules/ExposesItsArray,n=0;,,
/Objects/Server/ServerCapabilities/ModellingRules/ExposesItsArray/NamingRule,n=0;i=114,currentRead,NamingRuleType
/Objects/Server/ServerCapabilities/ModellingRules/Mandatory,n=0;,,
/Objects/Server/ServerCapabilities/ModellingRules/Mandatory/NamingRule,n=0;i=112,currentRead,NamingRuleType
/Objects/Server/ServerCapabilities/ModellingRules/MandatoryShared,n=0;,,
/Objects/Server/ServerCapabilities/ModellingRules/MandatoryShared/NamingRule,n=0;i=116,currentRead,NamingRuleType
/Objects/Server/ServerCapabilities/ModellingRules/Optional,n=0;,,
/Objects/Server/ServerCapabilities/ModellingRules/Optional/NamingRule,n=0;i=113,currentRead,NamingRuleType
/Objects/Server/ServerCapabilities/OperationLimits,n=0;,,
/Objects/Server/ServerCapabilities/OperationLimits/MaxMonitoredItemsPerCall,n=0;i=11714,currentRead,UInt32
/Objects/Server/ServerCapabilities/OperationLimits/MaxNodesPerBrowse,n=0;i=11710,currentRead,UInt32
/Objects/Server/ServerCapabilities/OperationLimits/MaxNodesPerHistoryReadData,n=0;i=12165,currentRead,UInt32
/Objects/Server/ServerCapabilities/OperationLimits/MaxNodesPerHistoryReadEvents,n=0;i=12166,currentRead,UInt32
/Objects/Server/ServerCapabilities/OperationLimits/MaxNodesPerHistoryUpdateData,n=0;i=12167,currentRead,UInt32
/Objects/Server/ServerCapabilities/OperationLimits/MaxNodesPerHistoryUpdateEvents,n=0;i=12168,currentRead,UInt32
/Objects/Server/ServerCapabilities/OperationLimits/MaxNodesPerMethodCall,n=0;i=11709,currentRead,UInt32
/Objects/Server/ServerCapabilities/OperationLimits/MaxNodesPerRead,n=0;i=11705,currentRead,UInt32
/Objects/Server/ServerCapabilities/OperationLimits/MaxNodesPerRegisterNodes,n=0;i=11711,currentRead,UInt32
/Objects/Server/ServerCapabilities/OperationLimits/MaxNodesPerTranslateBrowsePathsToNodeIds,n=0;i=11712,currentRead,UInt32
/Objects/Server/ServerCapabilities/OperationLimits/MaxNodesPerWrite,n=0;i=11707,currentRead,UInt32
/Objects/Server/ServerCapabilities/ServerProfileArray,n=0;i=2269,currentRead,String
/Objects/Server/ServerCapabilities/SoftwareCertificates,n=0;i=3704,currentRead,SignedSoftwareCertificate
/Objects/Server/ServerCapabilities/MaxInactiveLockTime,n=2;i=6387,currentRead,Duration
/Objects/Server/ServerConfiguration,n=0;,,
/Objects/Server/ServerConfiguration/ApplyChanges,n=0;,,
/Objects/Server/ServerConfiguration/CertificateGroups,n=0;,,
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup,n=0;,,
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/CertificateTypes,n=0;i=14161,currentRead,NodeId
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList,n=0;,,
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/AddCertificate,n=0;,,
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/AddCertificate/InputArguments,n=0;i=12669,currentRead,Argument
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/Close,n=0;,,
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/Close/InputArguments,n=0;i=12651,currentRead,Argument
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/CloseAndUpdate,n=0;,,
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/CloseAndUpdate/InputArguments,n=0;i=14160,currentRead,Argument
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/CloseAndUpdate/OutputArguments,n=0;i=12667,currentRead,Argument
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/GetPosition,n=0;,,
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/GetPosition/InputArguments,n=0;i=12658,currentRead,Argument
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/GetPosition/OutputArguments,n=0;i=12659,currentRead,Argument
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/LastUpdateTime,n=0;i=12662,currentRead,UtcTime
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/Open,n=0;,,
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/Open/InputArguments,n=0;i=12648,currentRead,Argument
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/Open/OutputArguments,n=0;i=12649,currentRead,Argument
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/OpenCount,n=0;i=12646,currentRead,UInt16
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/OpenWithMasks,n=0;,,
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/OpenWithMasks/InputArguments,n=0;i=12664,currentRead,Argument
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/OpenWithMasks/OutputArguments,n=0;i=12665,currentRead,Argument
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/Read,n=0;,,
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/Read/InputArguments,n=0;i=12653,currentRead,Argument
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/Read/OutputArguments,n=0;i=12654,currentRead,Argument
/Objects/Server/ServerConfiguration/CertificateGroups/DefaultApplicationGroup/TrustList/RemoveCertificate,n=0;,,
